timestamp,settlement_point,real_time_price,day_ahead_price,da_rt_spread,forecast_load_mw,actual_load_mw,load_forecast_error_mw
2026-05-01 00:00:00,HB_NORTH,34.47,28.36,-6.11,47667.0,48369.0,702.0
2026-05-01 00:00:00,HB_HOUSTON,34.33,34.33,0.0,47721.0,48489.0,768.0
2026-05-01 00:00:00,HB_WEST,30.06,29.6,-0.46,47958.0,48423.0,465.0
2026-05-01 00:00:00,HB_SOUTH,31.97,34.4,2.43,47708.0,48489.0,781.0
2026-05-01 00:00:00,LZ_AEN,35.99,34.69,-1.3,47741.0,48544.0,803.0
2026-05-01 00:00:00,LZ_CPS,33.73,32.81,-0.92,47781.0,48434.0,653.0
2026-05-01 00:00:00,LZ_HOUSTON,38.03,36.59,-1.44,47875.0,48691.0,816.0
2026-05-01 00:00:00,LZ_NORTH,32.1,31.94,-0.16,47725.0,48447.0,722.0
2026-05-01 00:00:00,LZ_SOUTH,37.94,34.14,-3.8,47722.0,48216.0,494.0
2026-05-01 00:00:00,LZ_WEST,31.74,32.35,0.61,47888.0,48242.0,354.0
2026-05-01 01:00:00,HB_NORTH,29.72,33.4,3.68,47078.0,47161.0,82.0
2026-05-01 01:00:00,HB_HOUSTON,31.26,36.31,5.05,46822.0,47099.0,277.0
2026-05-01 01:00:00,HB_WEST,22.37,28.87,6.5,46964.0,47389.0,425.0
2026-05-01 01:00:00,HB_SOUTH,27.38,36.29,8.91,46795.0,47096.0,301.0
2026-05-01 01:00:00,LZ_AEN,31.95,36.92,4.97,47082.0,47277.0,195.0
2026-05-01 01:00:00,LZ_CPS,28.67,33.42,4.75,47100.0,47119.0,20.0
2026-05-01 01:00:00,LZ_HOUSTON,29.35,34.18,4.83,46886.0,47229.0,343.0
2026-05-01 01:00:00,LZ_NORTH,28.9,35.03,6.13,46945.0,47175.0,230.0
2026-05-01 01:00:00,LZ_SOUTH,32.11,34.43,2.32,47051.0,47044.0,-8.0
2026-05-01 01:00:00,LZ_WEST,24.63,30.79,6.16,46853.0,47228.0,374.0
2026-05-01 02:00:00,HB_NORTH,22.34,31.69,9.35,46465.0,46746.0,281.0
2026-05-01 02:00:00,HB_HOUSTON,24.03,29.08,5.05,46304.0,46602.0,299.0
2026-05-01 02:00:00,HB_WEST,14.74,28.36,13.62,46369.0,46753.0,385.0
2026-05-01 02:00:00,HB_SOUTH,26.48,31.04,4.56,46566.0,46664.0,99.0
2026-05-01 02:00:00,LZ_AEN,24.71,31.26,6.55,46437.0,46948.0,512.0
2026-05-01 02:00:00,LZ_CPS,18.91,32.63,13.72,46506.0,46719.0,213.0
2026-05-01 02:00:00,LZ_HOUSTON,22.61,34.0,11.39,46414.0,46851.0,437.0
2026-05-01 02:00:00,LZ_NORTH,22.28,34.26,11.98,46448.0,46650.0,201.0
2026-05-01 02:00:00,LZ_SOUTH,24.68,32.9,8.22,46640.0,46947.0,307.0
2026-05-01 02:00:00,LZ_WEST,20.12,31.88,11.76,46335.0,46711.0,377.0
2026-05-01 03:00:00,HB_NORTH,18.49,27.08,8.59,46124.0,45174.0,-950.0
2026-05-01 03:00:00,HB_HOUSTON,20.69,31.31,10.62,46540.0,45803.0,-737.0
2026-05-01 03:00:00,HB_WEST,13.94,22.75,8.81,46044.0,45379.0,-665.0
2026-05-01 03:00:00,HB_SOUTH,16.87,28.1,11.23,46227.0,45314.0,-913.0
2026-05-01 03:00:00,LZ_AEN,23.57,30.64,7.07,46281.0,45171.0,-1110.0
2026-05-01 03:00:00,LZ_CPS,14.72,27.96,13.24,46294.0,45619.0,-674.0
2026-05-01 03:00:00,LZ_HOUSTON,22.23,32.99,10.76,46240.0,45147.0,-1093.0
2026-05-01 03:00:00,LZ_NORTH,15.49,26.78,11.29,46555.0,45205.0,-1351.0
2026-05-01 03:00:00,LZ_SOUTH,22.0,27.82,5.82,46412.0,45398.0,-1014.0
2026-05-01 03:00:00,LZ_WEST,14.52,26.05,11.53,46221.0,45408.0,-814.0
2026-05-01 04:00:00,HB_NORTH,17.92,27.33,9.41,46496.0,45564.0,-933.0
2026-05-01 04:00:00,HB_HOUSTON,21.2,28.88,7.68,46504.0,45517.0,-987.0
2026-05-01 04:00:00,HB_WEST,16.25,22.23,5.98,46661.0,45612.0,-1050.0
2026-05-01 04:00:00,HB_SOUTH,16.42,22.84,6.42,46675.0,45858.0,-817.0
2026-05-01 04:00:00,LZ_AEN,21.04,26.21,5.17,46653.0,45406.0,-1247.0
2026-05-01 04:00:00,LZ_CPS,17.25,26.86,9.61,46430.0,45582.0,-848.0
2026-05-01 04:00:00,LZ_HOUSTON,22.08,28.35,6.27,46646.0,45597.0,-1049.0
2026-05-01 04:00:00,LZ_NORTH,20.1,20.77,0.67,46471.0,45448.0,-1024.0
2026-05-01 04:00:00,LZ_SOUTH,17.44,24.52,7.08,46437.0,45729.0,-708.0
2026-05-01 04:00:00,LZ_WEST,12.17,22.83,10.66,46419.0,45530.0,-889.0
2026-05-01 05:00:00,HB_NORTH,22.9,28.05,5.15,46970.0,47972.0,1002.0
2026-05-01 05:00:00,HB_HOUSTON,26.72,29.37,2.65,47008.0,47969.0,962.0
